
Current theta : [ -5.1391 , 3.36116 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.999	0.15803	1.01142	1.01142	-5.1391	3.36116	0
1	0.99742	0.214045	1.02013	2.03155	-5.1391	3.36116	0
2	0.995279	0.268072	1.03075	3.0623	-5.1391	3.36116	0
3	0.992599	0.320138	1.04295	4.10525	-5.1391	3.36116	0
4	0.989397	0.370267	1.05641	5.16166	-5.1391	3.36116	0
5	0.985694	0.418483	1.07085	6.23251	-5.1391	3.36116	0
6	0.98151	0.464811	1.08601	7.31852	-5.1391	3.36116	0
7	0.976862	0.509274	1.10164	8.42016	-5.1391	3.36116	0
8	0.971769	0.551894	1.11755	9.53771	-5.1391	3.36116	0
9	0.96625	0.592695	1.13355	10.6713	-5.1391	3.36116	0
10	0.960323	0.631699	1.14946	11.8207	-5.1391	3.36116	0
11	0.954006	0.66893	1.16516	12.9859	-5.1391	3.36116	0
12	0.947317	0.704413	1.18051	14.1664	-5.1391	3.36116	0
13	0.940272	0.738171	1.19541	15.3618	-5.1391	3.36116	0
14	0.932891	0.770228	1.20977	16.5716	-5.1391	3.36116	0
15	0.925189	0.800612	1.2235	17.7951	-5.1391	3.36116	0
16	0.917182	0.829347	1.23654	19.0316	-5.1391	3.36116	0
17	0.908889	0.856461	1.24884	20.2805	-5.1391	3.36116	0
18	0.900324	0.881982	1.26035	21.5408	-5.1391	3.36116	0
19	0.891504	0.905939	1.27103	22.8118	-5.1391	3.36116	0
20	0.882445	0.92836	1.28084	24.0927	-5.1391	3.36116	0
21	0.873161	0.949276	1.28978	25.3825	-5.1391	3.36116	0
22	0.863669	0.968718	1.29782	26.6803	-5.1391	3.36116	0
23	0.853982	0.986719	1.30495	27.9852	-5.1391	3.36116	0
24	0.844114	1.00331	1.31117	29.2964	-5.1391	3.36116	0
25	0.834081	1.01852	1.31647	30.6129	-5.1391	3.36116	0
26	0.823896	1.03239	1.32085	31.9337	-5.1391	3.36116	0
27	0.813572	1.04496	1.32432	33.258	-5.1391	3.36116	0
28	0.803123	1.05625	1.3269	34.5849	-5.1391	3.36116	0
29	0.79256	1.0663	1.32859	35.9135	-5.1391	3.36116	0
